"|","|__i","|__lc","|__m","|__n","|__sc","|__ri","|__rm","|__rn","|__t","|__time"
"1532162556835","116212882618473813086","","How did u get that? (sent from Dombivli Stn.)","Webinger","","101442786897368311324","i have server of locals so i know all trains status (sent from Kings Circle Stn.)","Technical Krishna","21 Jul 02:12 PM","1532162556835"
"1532162572121","101003310441546283064","","it's see (sent from Dombivli Stn.)","amit singh","","116212882618473813086","Arriving in 6 mins (sent from Dombivli Stn.)","Webinger","21 Jul 02:12 PM","1532162572121"
"1532162599011","101442786897368311324","","😂😂 sorry I Can't tell you (sent from Matunga Stn.)","Technical Krishna","","116212882618473813086","How did u get that? (sent from Dombivli Stn.)","Webinger","21 Jul 02:13 PM","1532162599011"
"1532162611077","116212882618473813086","","Dm on whatsapp please (sent from Dombivli Stn.)","Webinger","","101442786897368311324","😂😂 sorry I Can't tell you (sent from Matunga Stn.)","Technical Krishna","21 Jul 02:13 PM","1532162611077"
"1532162711592","104721515605742318559","","what about 15 car (sent from Dombivli Stn.)","Akshata Raut","","","","","21 Jul 02:15 PM","1532162711592"
"1532162714404","117506299298824303875","","there is no A/C train on central line? (sent from Dadar Stn.)","Revant Tirwa","","","","","21 Jul 02:15 PM","1532162714404"
"1532162729707","103464655579522521379","","any issues @ badlapur station (sent from Bhandup)","Usha Shukla","","","","","21 Jul 02:15 PM","1532162729707"
"1532162741636","101442786897368311324","","8120431993 (sent from Dadar Stn.)","Technical Krishna","","116212882618473813086","Dm on whatsapp please (sent from Dombivli Stn.)","Webinger","21 Jul 02:15 PM","1532162741636"
"1532162743221","103464655579522521379","","no train from last one hour (sent from Bhandup)","Usha Shukla","","","","","21 Jul 02:15 PM","1532162743221"
"1532162766281","101442786897368311324","","shukla shukla me also 😂😂 (sent from Dadar Stn.)","Technical Krishna","","103464655579522521379","no train from last one hour (sent from Bhandup)","Usha Shukla","21 Jul 02:16 PM","1532162766281"
"1532162789638","103464655579522521379","","koi problem hai... (sent from Bhandup)","Usha Shukla","","","","","21 Jul 02:16 PM","1532162789638"
"1532162805898","101442786897368311324","2","don't tell lie just 2 local passed from bhandup (sent from Dadar Stn.)","Technical Krishna","","103464655579522521379","no train from last one hour (sent from Bhandup)","Usha Shukla","21 Jul 02:16 PM","1532162805898"
"1532162865253","103464655579522521379","","I am waiting in bhandup for my mom she is in badlapur she is telling she didn't get any local from last 1 hrs (sent from Bhandup)","Usha Shukla","","","","","21 Jul 02:17 PM","1532162865253"
"1532162881078","117506299298824303875","","any A.C. train on central line time table plz (sent from Dadar Stn.)","Revant Tirwa","","","","","21 Jul 02:18 PM","1532162881078"
"1532162912251","103464655579522521379","","no AC local in central line (sent from Bhandup)","Usha Shukla","","","","","21 Jul 02:18 PM","1532162912251"
"1532162992822","117506299298824303875","","thanks (sent from Dadar Stn.)","Revant Tirwa","","","","","21 Jul 02:19 PM","1532162992822"
"1532163016324","103464655579522521379","","koi badlapur me hai Jo mujhe update De sakte... (sent from Bhandup)","Usha Shukla","","","","","21 Jul 02:20 PM","1532163016324"
"1532163051830","103464655579522521379","","badlapur se last train kab nikalenge? (sent from Bhandup)","Usha Shukla","","","","","21 Jul 02:20 PM","1532163051830"
"1532163102836","101442786897368311324","","lol from 1 hour 3 trains started from badlapur (sent from Dadar Stn.)","Technical Krishna","","103464655579522521379","I am waiting in bhandup for my mom she is in badlapur she is telling she didn't get any local from last 1 hrs (sent from Bhandup)","Usha Shukla","21 Jul 02:21 PM","1532163102836"
"1532163130186","101904897483889302286","","hi","Disha Shah","","","","","21 Jul 02:22 PM","1532163130186"
"1532163154017","101442786897368311324","","no give money i will appeal to start ac train in central line too😂😂 (sent from Dadar Stn.)","Technical Krishna","","117506299298824303875","any A.C. train on central line time table plz (sent from Dadar Stn.)","Revant Tirwa","21 Jul 02:22 PM","1532163154017"
"1532163210065","101442786897368311324","1","hi  (sent from Dadar Stn.)","Technical Krishna","","101904897483889302286","hi","Disha Shah","21 Jul 02:23 PM","1532163210065"
"1532163325633","110457940156827490647","","fast train 20 to 25 min late thane to csmt .. (sent from Thane Stn.)","Sachin More","","","","","21 Jul 02:25 PM","1532163325633"
"1532163353474","101442786897368311324","","30-35 mins late :D (sent from Mahim Jn Stn.)","Technical Krishna","","110457940156827490647","fast train 20 to 25 min late thane to csmt .. (sent from Thane Stn.)","Sachin More","21 Jul 02:25 PM","1532163353474"
"1532163459656","112681832026210960161","1","any update about karjat 2 32 fast at dombivlli (sent from Dombivli Stn.)","Ketan Kamble","","","","","21 Jul 02:27 PM","1532163459656"
"1532163577044","101442786897368311324","1","karjat fast just reaching badlapur (sent from Bandra Stn.)","Technical Krishna","","112681832026210960161","any update about karjat 2 32 fast at dombivlli (sent from Dombivli Stn.)","Ketan Kamble","21 Jul 02:29 PM","1532163577044"
"1532163689066","111429679271316592323","","Ulhasnagar local 1:41PM is 15-20 minutes late","for robomate","","","","","21 Jul 02:31 PM","1532163689066"
"1532163708981","115778990396215968403","","tomorrow mega block at this line? (sent from Vashi)","Mane Sandeep","","","","","21 Jul 02:31 PM","1532163708981"
"1532163770016","101442786897368311324","","yup (sent from Bandra Stn.)","Technical Krishna","","115778990396215968403","tomorrow mega block at this line? (sent from Vashi)","Mane Sandeep","21 Jul 02:32 PM","1532163770016"
"1532163942832","110616998776852138455","","any updates of current kasara local  (sent from Dombivli)","rupali surse","","","","","21 Jul 02:35 PM","1532163942832"
